[2026-02-26T10:10:20.949046] 数据桥接服务启动
扫描目录: /root/.openclaw/agents/main/sessions/
输出目录: /root/.openclaw/workspace/agent-dashboard-public/data/
[2026-02-26T10:14:48.063206] 更新完成: 22 sessions, 0 active
[2026-02-26T10:14:51.064343] 更新完成: 22 sessions, 0 active
[2026-02-26T10:14:54.065451] 更新完成: 22 sessions, 0 active
[2026-02-26T10:14:57.066624] 更新完成: 22 sessions, 0 active
[2026-02-26T10:15:00.067734] 更新完成: 22 sessions, 0 active
[2026-02-26T10:15:03.068845] 更新完成: 22 sessions, 0 active
[2026-02-26T10:15:06.069935] 更新完成: 22 sessions, 0 active
[2026-02-26T10:15:09.071151] 更新完成: 22 sessions, 0 active
[2026-02-26T10:15:12.072339] 更新完成: 22 sessions, 0 active
[2026-02-26T10:15:15.073488] 更新完成: 22 sessions, 0 active
[2026-02-26T10:15:18.074597] 更新完成: 22 sessions, 0 active
[2026-02-26T10:15:21.075704] 更新完成: 22 sessions, 0 active
[2026-02-26T10:15:24.076867] 更新完成: 22 sessions, 0 active
[2026-02-26T10:15:27.078048] 更新完成: 22 sessions, 0 active
[2026-02-26T10:15:30.079166] 更新完成: 22 sessions, 0 active
[2026-02-26T10:15:33.080281] 更新完成: 22 sessions, 0 active
[2026-02-26T10:15:36.081417] 更新完成: 22 sessions, 0 active
[2026-02-26T10:15:39.082519] 更新完成: 22 sessions, 0 active
[2026-02-26T10:15:42.083687] 更新完成: 22 sessions, 0 active
[2026-02-26T10:15:45.084801] 更新完成: 22 sessions, 0 active
[2026-02-26T10:15:48.085974] 更新完成: 22 sessions, 0 active
[2026-02-26T10:15:51.087079] 更新完成: 22 sessions, 0 active
[2026-02-26T10:15:54.088206] 更新完成: 22 sessions, 0 active
[2026-02-26T10:15:57.089358] 更新完成: 22 sessions, 0 active
[2026-02-26T10:16:00.090534] 更新完成: 22 sessions, 0 active
[2026-02-26T10:16:03.091664] 更新完成: 22 sessions, 0 active
[2026-02-26T10:16:06.092840] 更新完成: 22 sessions, 0 active
[2026-02-26T10:16:09.093994] 更新完成: 22 sessions, 0 active
[2026-02-26T10:16:12.095123] 更新完成: 22 sessions, 0 active
[2026-02-26T10:16:15.096311] 更新完成: 22 sessions, 0 active
[2026-02-26T10:16:18.097454] 更新完成: 22 sessions, 0 active
[2026-02-26T10:16:21.098696] 更新完成: 22 sessions, 0 active
[2026-02-26T10:16:24.099865] 更新完成: 22 sessions, 0 active
[2026-02-26T10:16:27.101013] 更新完成: 22 sessions, 0 active
[2026-02-26T10:16:30.102124] 更新完成: 22 sessions, 0 active
[2026-02-26T10:16:33.103240] 更新完成: 22 sessions, 0 active
[2026-02-26T10:16:36.104334] 更新完成: 22 sessions, 0 active
[2026-02-26T10:16:39.105445] 更新完成: 22 sessions, 0 active
[2026-02-26T10:16:42.106555] 更新完成: 22 sessions, 0 active
[2026-02-26T10:16:45.107661] 更新完成: 22 sessions, 0 active
[2026-02-26T10:16:48.108822] 更新完成: 22 sessions, 0 active
[2026-02-26T10:16:51.109948] 更新完成: 22 sessions, 0 active
[2026-02-26T10:16:54.111069] 更新完成: 22 sessions, 0 active
[2026-02-26T10:16:57.112265] 更新完成: 22 sessions, 0 active
[2026-02-26T10:17:00.113369] 更新完成: 22 sessions, 0 active
[2026-02-26T10:17:03.114533] 更新完成: 22 sessions, 0 active
[2026-02-26T10:17:06.115674] 更新完成: 22 sessions, 0 active
[2026-02-26T10:17:09.116830] 更新完成: 22 sessions, 0 active
[2026-02-26T10:17:12.117946] 更新完成: 22 sessions, 0 active
[2026-02-26T10:17:15.119064] 更新完成: 22 sessions, 0 active
[2026-02-26T10:17:18.120185] 更新完成: 22 sessions, 0 active
[2026-02-26T10:17:21.121299] 更新完成: 22 sessions, 0 active
[2026-02-26T10:17:24.122414] 更新完成: 22 sessions, 0 active
[2026-02-26T10:17:27.123533] 更新完成: 22 sessions, 0 active
[2026-02-26T10:17:30.124648] 更新完成: 22 sessions, 0 active
[2026-02-26T10:17:33.125863] 更新完成: 22 sessions, 0 active
[2026-02-26T10:17:36.126968] 更新完成: 22 sessions, 0 active
[2026-02-26T10:17:39.128061] 更新完成: 22 sessions, 0 active
[2026-02-26T10:17:42.129155] 更新完成: 22 sessions, 0 active
[2026-02-26T10:17:45.130239] 更新完成: 22 sessions, 0 active
[2026-02-26T10:17:48.131355] 更新完成: 22 sessions, 0 active
[2026-02-26T10:17:51.132468] 更新完成: 22 sessions, 0 active
[2026-02-26T10:17:54.133567] 更新完成: 22 sessions, 0 active
[2026-02-26T10:17:57.134687] 更新完成: 22 sessions, 0 active
[2026-02-26T10:18:00.135789] 更新完成: 22 sessions, 0 active
[2026-02-26T10:18:03.136938] 更新完成: 22 sessions, 0 active
[2026-02-26T10:18:06.138078] 更新完成: 22 sessions, 0 active
[2026-02-26T10:18:09.139232] 更新完成: 22 sessions, 0 active
[2026-02-26T10:18:12.140356] 更新完成: 22 sessions, 0 active
[2026-02-26T10:18:15.141505] 更新完成: 22 sessions, 0 active
[2026-02-26T10:18:18.142640] 更新完成: 22 sessions, 0 active
[2026-02-26T10:18:21.143781] 更新完成: 22 sessions, 0 active
[2026-02-26T10:18:24.144888] 更新完成: 22 sessions, 0 active
[2026-02-26T10:18:27.146006] 更新完成: 22 sessions, 0 active
[2026-02-26T10:18:30.147192] 更新完成: 22 sessions, 0 active
[2026-02-26T10:18:33.148344] 更新完成: 22 sessions, 0 active
[2026-02-26T10:18:36.149450] 更新完成: 22 sessions, 0 active
[2026-02-26T10:18:39.150599] 更新完成: 22 sessions, 0 active
[2026-02-26T10:18:42.151724] 更新完成: 22 sessions, 0 active
[2026-02-26T10:18:45.152913] 更新完成: 22 sessions, 0 active
[2026-02-26T10:18:48.154013] 更新完成: 22 sessions, 0 active
[2026-02-26T10:18:51.155101] 更新完成: 22 sessions, 0 active
[2026-02-26T10:18:54.156231] 更新完成: 22 sessions, 0 active
[2026-02-26T10:18:57.157420] 更新完成: 22 sessions, 0 active
[2026-02-26T10:19:00.158591] 更新完成: 22 sessions, 0 active
[2026-02-26T10:19:03.160296] 更新完成: 22 sessions, 0 active
[2026-02-26T10:19:06.161440] 更新完成: 22 sessions, 0 active
[2026-02-26T10:19:09.162571] 更新完成: 22 sessions, 0 active
[2026-02-26T10:19:12.163713] 更新完成: 22 sessions, 0 active
[2026-02-26T10:19:15.164880] 更新完成: 22 sessions, 0 active
[2026-02-26T10:19:18.165999] 更新完成: 22 sessions, 0 active
[2026-02-26T10:19:21.167101] 更新完成: 22 sessions, 0 active
[2026-02-26T10:19:24.168204] 更新完成: 22 sessions, 0 active
[2026-02-26T10:19:27.169324] 更新完成: 22 sessions, 0 active
[2026-02-26T10:19:30.170461] 更新完成: 22 sessions, 0 active
[2026-02-26T10:19:33.171573] 更新完成: 22 sessions, 0 active
[2026-02-26T10:19:36.172695] 更新完成: 22 sessions, 0 active
[2026-02-26T10:19:39.173846] 更新完成: 22 sessions, 0 active
[2026-02-26T10:19:42.175006] 更新完成: 22 sessions, 0 active
[2026-02-26T10:19:45.176105] 更新完成: 22 sessions, 0 active
[2026-02-26T10:19:48.177228] 更新完成: 22 sessions, 0 active
[2026-02-26T10:19:51.178328] 更新完成: 22 sessions, 0 active
[2026-02-26T10:19:54.179462] 更新完成: 22 sessions, 0 active
[2026-02-26T10:19:57.180672] 更新完成: 22 sessions, 0 active
[2026-02-26T10:20:00.181855] 更新完成: 22 sessions, 0 active
[2026-02-26T10:20:03.184806] 更新完成: 22 sessions, 0 active
[2026-02-26T10:20:06.185930] 更新完成: 22 sessions, 0 active
[2026-02-26T10:20:09.187017] 更新完成: 22 sessions, 0 active
[2026-02-26T10:20:12.188149] 更新完成: 22 sessions, 0 active
[2026-02-26T10:20:15.189292] 更新完成: 22 sessions, 0 active
[2026-02-26T10:20:18.190857] 更新完成: 22 sessions, 0 active
[2026-02-26T10:20:21.191971] 更新完成: 22 sessions, 0 active
[2026-02-26T10:20:24.193073] 更新完成: 22 sessions, 0 active
[2026-02-26T10:20:27.194195] 更新完成: 22 sessions, 0 active
[2026-02-26T10:20:30.195346] 更新完成: 22 sessions, 0 active
[2026-02-26T10:20:33.196459] 更新完成: 22 sessions, 0 active
[2026-02-26T10:20:36.197562] 更新完成: 22 sessions, 0 active
[2026-02-26T10:20:39.198641] 更新完成: 22 sessions, 0 active
[2026-02-26T10:20:42.199789] 更新完成: 22 sessions, 0 active
[2026-02-26T10:20:45.200919] 更新完成: 22 sessions, 0 active
[2026-02-26T10:20:48.202032] 更新完成: 22 sessions, 0 active
[2026-02-26T10:20:51.203159] 更新完成: 22 sessions, 0 active
[2026-02-26T10:20:54.204319] 更新完成: 22 sessions, 0 active
[2026-02-26T10:20:57.205454] 更新完成: 22 sessions, 0 active
[2026-02-26T10:21:00.206577] 更新完成: 22 sessions, 0 active
[2026-02-26T10:21:03.207715] 更新完成: 22 sessions, 0 active
[2026-02-26T10:21:06.208834] 更新完成: 22 sessions, 0 active
[2026-02-26T10:21:09.210033] 更新完成: 22 sessions, 0 active
[2026-02-26T10:21:12.211174] 更新完成: 22 sessions, 0 active
[2026-02-26T10:21:15.212353] 更新完成: 22 sessions, 0 active
[2026-02-26T10:21:18.213485] 更新完成: 22 sessions, 0 active
[2026-02-26T10:21:21.214591] 更新完成: 22 sessions, 0 active
[2026-02-26T10:21:24.215693] 更新完成: 22 sessions, 0 active
[2026-02-26T10:21:27.216820] 更新完成: 22 sessions, 0 active
[2026-02-26T10:21:30.217959] 更新完成: 22 sessions, 0 active
[2026-02-26T10:21:33.219927] 更新完成: 22 sessions, 0 active
[2026-02-26T10:21:36.221027] 更新完成: 22 sessions, 0 active
[2026-02-26T10:21:39.222145] 更新完成: 22 sessions, 0 active
[2026-02-26T10:21:42.223293] 更新完成: 22 sessions, 0 active
[2026-02-26T10:21:45.224402] 更新完成: 22 sessions, 0 active
[2026-02-26T10:21:48.225507] 更新完成: 22 sessions, 0 active
[2026-02-26T10:21:51.226602] 更新完成: 22 sessions, 0 active
[2026-02-26T10:21:54.227708] 更新完成: 22 sessions, 0 active
[2026-02-26T10:21:57.228854] 更新完成: 22 sessions, 0 active
[2026-02-26T10:22:00.229978] 更新完成: 22 sessions, 0 active
[2026-02-26T10:22:03.231074] 更新完成: 22 sessions, 0 active
[2026-02-26T10:22:06.234695] 更新完成: 22 sessions, 0 active
[2026-02-26T10:22:09.235822] 更新完成: 22 sessions, 0 active
[2026-02-26T10:22:12.236926] 更新完成: 22 sessions, 0 active
[2026-02-26T10:22:15.238030] 更新完成: 22 sessions, 0 active
[2026-02-26T10:22:18.241562] 更新完成: 22 sessions, 0 active
[2026-02-26T10:22:21.243071] 更新完成: 22 sessions, 0 active
[2026-02-26T10:22:24.244187] 更新完成: 22 sessions, 0 active
[2026-02-26T10:22:27.245329] 更新完成: 22 sessions, 0 active
[2026-02-26T10:22:30.246454] 更新完成: 22 sessions, 0 active
[2026-02-26T10:22:33.247554] 更新完成: 22 sessions, 0 active
[2026-02-26T10:22:36.248663] 更新完成: 22 sessions, 0 active
[2026-02-26T10:22:39.249787] 更新完成: 22 sessions, 0 active
[2026-02-26T10:22:42.250994] 更新完成: 22 sessions, 0 active
[2026-02-26T10:22:45.252111] 更新完成: 22 sessions, 0 active
[2026-02-26T10:22:48.253215] 更新完成: 22 sessions, 0 active
[2026-02-26T10:22:51.254347] 更新完成: 22 sessions, 0 active
[2026-02-26T10:22:54.255467] 更新完成: 22 sessions, 0 active
[2026-02-26T10:22:57.256593] 更新完成: 22 sessions, 0 active
[2026-02-26T10:23:00.257722] 更新完成: 22 sessions, 0 active
[2026-02-26T10:23:03.258899] 更新完成: 22 sessions, 0 active
[2026-02-26T10:23:06.260062] 更新完成: 22 sessions, 0 active
[2026-02-26T10:23:09.261179] 更新完成: 22 sessions, 0 active
[2026-02-26T10:23:12.262311] 更新完成: 22 sessions, 0 active
[2026-02-26T10:23:15.263477] 更新完成: 22 sessions, 0 active
[2026-02-26T10:23:18.264603] 更新完成: 22 sessions, 0 active
[2026-02-26T10:23:21.265722] 更新完成: 22 sessions, 0 active
[2026-02-26T10:23:24.266844] 更新完成: 22 sessions, 0 active
[2026-02-26T10:23:27.267972] 更新完成: 22 sessions, 0 active
[2026-02-26T10:23:30.269143] 更新完成: 22 sessions, 0 active
[2026-02-26T10:23:33.270355] 更新完成: 22 sessions, 0 active
[2026-02-26T10:23:36.271491] 更新完成: 22 sessions, 0 active
